v1,v2
ham,I'll be home soon. Did you remember to pick up the milk? Love you.
ham,Ok lar. Joking wif u oni...
ham,Jst finished my lunch then I go str down lor. Ard 4pm smth lor. U finish ur lunch already?
ham,Can you call me back? My phone battery is low. It's urgent.
ham,Jst finished my lunch then I go str down lor. Ard 4pm smth lor. U finish ur lunch already?
ham,Can you call me back? My phone battery is low. It's urgent.
spam,"FG PALLIATIVE: Your $	ext{₦}1000,000$ cash grant is approved by CBN. Click the link to secure your fund: gvly.xyz/apply-ng"
ham,Did you catch the bus? Are you eating your mom's left over dinner? Do you feel my Love?
ham,Did you catch the bus? Are you eating your mom's left over dinner? Do you feel my Love?
ham,Jst finished my lunch then I go str down lor. Ard 6:30pm smth lor. U finish ur lunch already?
spam,IMPORTANT: All Moniepoint customers MUST update their security details. Your account will be locked in 12 hours. Update here: gov-ng.online/mp-update
ham,Ok lar. Joking wif u oni...
ham,I'll be home soon. Did you remember to pick up the bread? Love you.
ham,"Nah I don't think he goes to usf, he lives around here though."
ham,"Nah I don't think he goes to usf, he lives around here though."
ham,How was ur day at work? Send me photos!
ham,Ok lar. Joking wif u oni...
ham,Ok lar. Joking wif u oni...
ham,Ok lar. Joking wif u oni...
spam,Your UBA ATM PIN has been compromised. Visit the link immediately to secure your account and recover lost funds: bit.ly/pin-reset
ham,Jst finished my lunch then I go str down lor. Ard 7pm smth lor. U finish ur lunch already?
ham,"Hey, what time are you free later? Can we meet at the market?"
ham,"Nah I don't think he goes to usf, he lives around here though."
ham,How was your day at school? Send me photos!
ham,Did you catch the bus? Are you eating your mom's left over dinner? Do you feel my Love?
ham,I'll be home soon. Did you remember to pick up the milk? Love you.
ham,Ok lar. Joking wif u oni...
ham,Jst finished my lunch then I go str down lor. Ard 3pm smth lor. U finish ur lunch already?
ham,Can you call me back? My phone battery is low. It's urgent.
ham,Even my brother is not like to speak with me. They treat me like aids patent.
spam,Your package is held at FedEx warehouse due to address error. Download the tracking app here: bit.ly/app-download (Malware Risk)
ham,Ok lar. Joking wif u oni...
spam,CONGRATULATIONS! Y O U R S I M C A R D won. You have F R E E 50GB data. Click: short.link/free-data
spam,Presidency Alert: Tax refund of $	ext{₦}1000 	ext{K}$ is due. Update your FIRS details to avoid forfeiture. Click: bit.ly/firs-update
ham,"Hey, what time are you free later? Can we meet at Cineplex?"
ham,"Nah I don't think he goes to usf, he lives around here though."
ham,Jst finished my lunch then I go str down lor. Ard 7pm smth lor. U finish ur lunch already?
ham,Jst finished my lunch then I go str down lor. Ard 3pm smth lor. U finish ur lunch already?
ham,Can you call me back? My phone battery is low. It's urgent.
ham,Jst finished my lunch then I go str down lor. Ard 3pm smth lor. U finish ur lunch already?
ham,Ok lar. Joking wif u oni...
spam,Your package is held at DHL warehouse due to address error. Download the tracking app here: bit.ly/app-download (Malware Risk)
ham,Can u call me back? My phone battery is low. It's urgent.
ham,I'll be home soon. Did you remember to pick up the bread? Love you.
ham,I'll be home soon. Did u remember to pick up the that new book? Love u.
ham,Ok lar. Joking wif u oni...
ham,"Hey, what time are you free later? Can we meet at the market?"
ham,Can you call me back? My phone battery is low. It's urgent.
ham,Ok lar. Joking wif u oni...
ham,Can you call me back? My phone battery is low. It's urgent.
ham,Even my brother is not like to speak with me. They treat me like aids patent.
ham,Ok lar. Joking wif u oni...
ham,"Hey, what time are u free later? Can we meet at Lagos Island?"
ham,Even my brother is not like to speak with me. They treat me like aids patent.
ham,I'll be home soon. Did you remember to pick up the milk? Love you.
ham,How was your day at work? Send me photos!
ham,Even my brother is not like to speak with me. They treat me like aids patent.
spam,Your UBA ATM PIN has been compromised. Visit the link immediately to secure your account and recover lost funds: gvly.xyz/pin-reset
ham,Even my brother is not like to speak with me. They treat me like aids patent.
ham,Ok lar. Joking wif u oni...
spam,"Humanitarian Affairs Dept urges all citizens to register for the Youth Empowerment Grant. Receive $	ext{₦}1000,000$ weekly. Apply immediately: bit.ly/register"
ham,Did you catch the bus? Are you eating your mom's left over dinner? Do you feel my Love?
ham,Even my brother is not like to speak with me. They treat me like aids patent.
ham,I'll be home soon. Did you remember to pick up the milk? Love you.
ham,Can you call me back? My phone battery is low. It's urgent.
ham,Ok lar. Joking wif u oni...
